receiver,positionX,positionY,positionZ,speedX,speedY,speedZ,headingX,headingY,headingZ,distance,sender,senderPosX,senderPosY,senderPosZ,senderSpeed,senderSpeedX,senderSpeedY,senderSpeedZ,senderHeadingX,senderHeadingY,senderHeadingZ,senderAccel,senderGPSPosX,senderGPSPosY,senderGPSPosZ,attackType,senderType,senderDistTraveled,isRSU,RSS,arrivalTime
34,1431.132817,572.796988,0.000000,14.674587,-6.417447,0.000000,0.916219,-0.400678,0.000000,1476.77,28,50.000000,50.000000,0.000000,0.014518,-0.003450,-0.014102,0.000000,-0.237673,-0.971345,0.000000,-0.0294715,-48.051629,-15.828721,0.000000,2,1,0,0,-65.9736,17.529
28,1464.543870,559.062274,0.000000,-0.002684,-0.010986,0.000000,-0.237295,-0.971438,0.000000,23.8675,34,1441.961719,566.789127,0.000000,12.734525,11.135554,-6.177991,0.000000,0.874438,-0.485137,0.000000,-3.28194,-48.038680,-15.833266,0.000000,0,0,12.3838,0,-64.7608,18.0203
34,1441.961719,566.789127,0.000000,11.135554,-6.177991,0.000000,0.874438,-0.485137,0.000000,1484.8,28,50.000000,50.000000,0.000000,0.011309,-0.002684,-0.010986,0.000000,-0.237295,-0.971438,0.000000,-0.00320846,-48.051629,-15.828721,0.000000,2,1,0,0,-62.1271,18.529
28,1464.543793,559.061553,0.000000,-0.000160,-0.000655,0.000000,-0.237273,-0.971443,0.000000,16.7518,34,1447.932779,561.228864,0.000000,8.549827,5.289430,-6.717251,0.000000,0.618659,-0.785659,0.000000,-4.1847,-48.038580,-15.833210,0.000000,0,0,8.15905,0,-62.77,19.0203
58,3464.628563,1502.325756,0.000000,0.000000,0.000000,0.000000,0.322636,0.946523,0.000000,153.76,22,3607.036474,1444.341906,0.000000,9.631145,6.699036,-6.919673,0.000000,0.695560,-0.718468,0.000000,-4.5,-48.018321,-15.840927,0.000000,0,0,0,0,-82.2662,19.4377
34,1447.932779,561.228864,0.000000,5.289430,-6.717251,0.000000,0.618659,-0.785659,0.000000,1488.48,28,50.000000,50.000000,0.000000,0.000674,-0.000160,-0.000655,0.000000,-0.237273,-0.971443,0.000000,-0.0106351,-48.051629,-15.828721,0.000000,2,1,0,0,-61.9945,19.529
22,3607.036474,1444.341906,0.000000,6.699036,-6.919673,0.000000,0.695560,-0.718468,0.000000,153.76,58,3464.628563,1502.325756,0.000000,0.000000,0.000000,0.000000,0.000000,0.322636,0.946523,0.000000,0,0.000000,0.000000,0.000000,0,0,0,0,-82.3251,19.5653
28,1464.543755,559.061194,0.000000,-0.000080,-0.000326,0.000000,-0.237262,-0.971446,0.000000,13.8297,34,1450.791653,557.598268,0.000000,4.751941,2.939832,-3.733407,0.000000,0.618659,-0.785659,0.000000,-3.79789,-48.038525,-15.833159,0.000000,0,0,4.62108,0,-61.9468,20.0203
58,3465.962060,1503.833877,0.000000,0.891209,1.575912,0.000000,0.492257,0.870450,0.000000,160.259,22,3612.413606,1438.757916,0.000000,8.041640,5.624407,-5.747524,0.000000,0.699410,-0.714720,0.000000,-1.5895,-48.018271,-15.840856,0.000000,0,0,7.75206,0,-82.6114,20.4377
34,1450.791653,557.598268,0.000000,2.939832,-3.733407,0.000000,0.618659,-0.785659,0.000000,1489.92,28,50.000000,50.000000,0.000000,0.000335,-0.000080,-0.000326,0.000000,-0.237262,-0.971446,0.000000,-0.00033861,-48.051629,-15.828721,0.000000,2,1,0,0,-61.2386,20.529
22,3612.413606,1438.757916,0.000000,5.624407,-5.747524,0.000000,0.699410,-0.714720,0.000000,160.259,58,3465.962060,1503.833877,0.000000,1.810456,0.891209,1.575912,0.000000,0.492257,0.870450,0.000000,1.81046,-48.019592,-15.841398,0.000000,0,0,2.01312,0,-82.6473,20.5653
28,1464.328016,557.276111,0.000000,-0.316768,-1.682516,0.000000,-0.185020,-0.982735,0.000000,12.746,34,1451.601607,556.569677,0.000000,1.346281,0.832889,-1.057718,0.000000,0.618659,-0.785659,0.000000,-3.40566,-48.038499,-15.833126,0.000000,0,0,1.30921,0,-61.0637,21.0203
58,3469.116732,1507.032800,0.000000,2.851000,2.948789,0.000000,0.695086,0.718927,0.000000,167.739,22,3619.969693,1433.685958,0.000000,9.149208,7.973119,-4.487469,0.000000,0.871455,-0.490476,0.000000,1.10757,-48.018222,-15.840805,0.000000,0,0,9.10051,0,-82.7295,21.4377
34,1451.601607,556.569677,0.000000,0.832889,-1.057718,0.000000,0.618659,-0.785659,0.000000,1490.34,28,50.000000,50.000000,0.000000,1.712076,-0.316768,-1.682516,0.000000,-0.185020,-0.982735,0.000000,1.71174,-48.051629,-15.828721,0.000000,2,1,0,0,-60.5395,21.529
22,3619.969693,1433.685958,0.000000,7.973119,-4.487469,0.000000,0.871455,-0.490476,0.000000,167.739,58,3469.116732,1507.032800,0.000000,4.101653,2.851000,2.948789,0.000000,0.695086,0.718927,0.000000,2.2912,-48.019579,-15.841411,0.000000,0,0,4.49278,0,-82.7742,21.5653
28,1463.864525,554.031674,0.000000,-0.431287,-3.201795,0.000000,-0.133496,-0.991049,0.000000,11.9924,34,1452.037479,556.016147,0.000000,0.724494,0.448215,-0.569205,0.000000,0.618659,-0.785659,0.000000,-0.621787,-48.038491,-15.833117,0.000000,0,0,0.704543,0,-59.7014,22.0203
58,3474.492520,1509.568740,0.000000,5.062669,2.251964,0.000000,0.913685,0.406423,0.000000,172.701,22,3627.963724,1430.372219,0.000000,8.652859,8.026318,-3.232676,0.000000,0.927591,-0.373596,0.000000,-0.496349,-48.018152,-15.840758,0.000000,0,0,8.65363,0,-83.1166,22.4377
34,1452.037479,556.016147,0.000000,0.448215,-0.569205,0.000000,0.618659,-0.785659,0.000000,1490.56,28,50.000000,50.000000,0.000000,3.230712,-0.431287,-3.201795,0.000000,-0.133496,-0.991049,0.000000,1.51864,-48.051629,-15.828721,0.000000,2,1,0,0,-59.6261,22.529
22,3627.963724,1430.372219,0.000000,8.026318,-3.232676,0.000000,0.927591,-0.373596,0.000000,172.701,58,3474.492520,1509.568740,0.000000,5.540934,5.062669,2.251964,0.000000,0.913685,0.406423,0.000000,1.43928,-48.019549,-15.841440,0.000000,0,0,5.94391,0,-83.1573,22.5653
28,1462.997330,549.083301,0.000000,-0.853913,-4.880765,0.000000,-0.172337,-0.985038,0.000000,12.6536,34,1452.244460,555.753293,0.000000,0.344039,0.212843,-0.270297,0.000000,0.618659,-0.785659,0.000000,-0.380455,-48.038487,-15.833112,0.000000,0,0,0.334565,0,-60.1769,23.0203
58,3481.726186,1511.104808,0.000000,7.381968,0.942634,0.000000,0.991945,0.126666,0.000000,175.523,22,3635.886199,1427.181367,0.000000,8.536701,7.918571,-3.189280,0.000000,0.927591,-0.373596,0.000000,-0.116158,-48.018078,-15.840727,0.000000,0,0,8.54091,0,-83.0762,23.4377
34,1452.244460,555.753293,0.000000,0.212843,-0.270297,0.000000,0.618659,-0.785659,0.000000,1490.66,28,50.000000,50.000000,0.000000,4.954900,-0.853913,-4.880765,0.000000,-0.172337,-0.985038,0.000000,1.72419,-48.051629,-15.828721,0.000000,2,1,0,0,-60.3243,23.529
22,3635.886199,1427.181367,0.000000,7.918571,-3.189280,0.000000,0.927591,-0.373596,0.000000,175.523,58,3481.726186,1511.104808,0.000000,7.441909,7.381968,0.942634,0.000000,0.991945,0.126666,0.000000,1.90097,-48.019499,-15.841462,0.000000,0,0,7.39496,0,-83.0964,23.5653
28,1462.948030,541.984963,0.000000,0.213988,-7.014736,0.000000,0.030491,-0.999535,0.000000,17.2913,34,1452.336101,555.636914,0.000000,0.152323,0.094236,-0.119674,0.000000,0.618659,-0.785659,0.000000,-0.191715,-48.038485,-15.833109,0.000000,0,0,0.148129,0,-62.5295,24.0203
40,3432.042902,1312.990999,0.000000,9.865761,-4.325618,0.000000,0.915838,-0.401547,0.000000,505.164,16,3230.000000,850.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0,1,-92.4372,24.2364
34,1452.336101,555.636914,0.000000,0.094236,-0.119674,0.000000,0.618659,-0.785659,0.000000,1490.71,28,50.000000,50.000000,0.000000,7.017999,0.213988,-7.014736,0.000000,0.030491,-0.999535,0.000000,2.0631,-48.051629,-15.828721,0.000000,2,1,0,0,-64.1736,24.529
58,3491.183565,1509.573385,0.000000,9.185722,-3.007023,0.000000,0.950373,-0.311113,0.000000,205.286,40,3432.042902,1312.990999,0.000000,10.772382,9.865761,-4.325618,0.000000,0.915838,-0.401547,0.000000,-2.28413,-48.020011,-15.839731,0.000000,0,0,0,0,-84.0442,24.679
28,1463.941001,532.664761,0.000000,1.032003,-9.305641,0.000000,0.110225,-0.993907,0.000000,25.7352,34,1452.337240,555.635469,0.000000,0.001892,0.001171,-0.001487,0.000000,0.618659,-0.785659,0.000000,-0.150431,-48.038484,-15.833108,0.000000,0,0,0.00184008,0,-66.2104,25.0203
34,1452.337240,555.635469,0.000000,0.001171,-0.001487,0.000000,0.618659,-0.785659,0.000000,1490.71,28,50.000000,50.000000,0.000000,9.362692,1.032003,-9.305641,0.000000,0.110225,-0.993907,0.000000,2.34469,-48.051629,-15.828721,0.000000,2,1,0,0,-67.5478,25.529
40,3437.186301,1309.802383,0.000000,5.251725,-3.429601,0.000000,0.837278,-0.546778,0.000000,205.684,58,3502.368085,1504.885171,0.000000,11.996910,11.064212,-4.637785,0.000000,0.922255,-0.386582,0.000000,2.33152,-48.019343,-15.841460,0.000000,0,0,0,0,-84.2839,25.5653
58,3502.368085,1504.885171,0.000000,11.064212,-4.637785,0.000000,0.922255,-0.386582,0.000000,205.684,40,3437.186301,1309.802383,0.000000,6.272382,5.251725,-3.429601,0.000000,0.837278,-0.546778,0.000000,-4.5,-48.019921,-15.839693,0.000000,0,0,6.0516,0,-84.2765,25.679
28,1465.239736,520.953984,0.000000,1.298639,-11.709908,0.000000,0.110225,-0.993907,0.000000,37.0032,34,1452.337590,555.635023,0.000000,0.000583,0.000361,-0.000458,0.000000,0.618659,-0.785659,0.000000,-0.00130926,-48.038484,-15.833108,0.000000,0,0,0.00056688,0,-69.2568,26.0203
34,1452.337590,555.635023,0.000000,0.000361,-0.000458,0.000000,0.618659,-0.785659,0.000000,1490.71,28,50.000000,50.000000,0.000000,11.781698,1.298639,-11.709908,0.000000,0.110225,-0.993907,0.000000,2.41901,-48.051629,-15.828721,0.000000,2,1,0,0,-70.509,26.529
40,3437.573600,1304.772348,0.000000,0.210182,-5.307341,0.000000,0.039571,-0.999217,0.000000,209.657,58,3514.236202,1499.910413,0.000000,12.730160,11.740456,-4.921246,0.000000,0.922255,-0.386582,0.000000,0.733251,-48.019240,-15.841416,0.000000,0,0,12.8686,0,-84.9723,26.5653
58,3514.236202,1499.910413,0.000000,11.740456,-4.921246,0.000000,0.922255,-0.386582,0.000000,209.657,40,3437.573600,1304.772348,0.000000,5.311501,0.210182,-5.307341,0.000000,0.039571,-0.999217,0.000000,-0.960881,-48.019873,-15.839663,0.000000,0,0,5.04492,0,-84.9986,26.679
28,1462.176027,509.080787,0.000000,-7.066336,-11.828372,0.000000,-0.512857,-0.858474,0.000000,47.5823,34,1452.337688,555.634900,0.000000,0.000162,0.000100,-0.000127,0.000000,0.618659,-0.785659,0.000000,-0.000421178,-48.038484,-15.833108,0.000000,0,0,0.0001573,0,-71.6943,27.0203
